Name,City_id,Area
Abshalom,1,South
Achuzam,2,South
Aderet,3,Center
Adorim,4,Judea and Samaria
Afula,5,North
Akko,6,North
Ali,7,Judea and Samaria
Ali Zahav,8,Judea and Samaria
Almagor,9,North
Alon Moreh,10,Judea and Samaria
Alon Shvut,11,Judea and Samaria
Alonei Hasban,12,North
Alumim,13,South
Amioz,14,South
Amonim,15,South
Ani'am,16,North
Ariel,17,Judea and Samaria
As'el,18,Judea and Samaria
Ashdod,19,Center
Ashdot Ya'akov,20,North
Ashkelon,21,South
Ateret,22,Judea and Samaria
Aviezer,23,Jerusalem
Avigdor,24,South
Avivim,25,North
Avnat,26,South
Avni Chefetz,27,Judea and Samaria
Avni Eitan,28,North
Ayalot,29,South
Azrikam,30,Center
Barkan,31,Judea and Samaria
Bat Ein,32,Judea and Samaria
Bat Yam,33,Gush Dan
Beer Ganim,34,South
Beer Ora,35,South
Beer Sheva,36,South
Beeri,37,South
Beerot Yitzhak,38,Center
Beit Alpha,39,North
Beit Arie,40,Judea and Samaria
Beit El,41,Judea and Samaria
Beit Guvrin,42,Jerusalem
Beit Hagadi,43,South
Beit Haggai,44,Judea and Samaria
Beit Hashita,45,North
Beit Hilkiah,46,South
Beit Hillel,47,North
Beit Kama,48,South
Beit Meir,49,Jerusalem
Beit Nir,50,South
Beit She'an,51,North
Beit Shemesh,52,Jerusalem
Beit Yanai,53,North
Beitar Ilit,54,Jerusalem
Benimina,55,North
Beror Chail,56,South
Bnei Ayish,57,Center
Bnei Brak,58,Gush Dan
Bnei Darom,59,South
Bnei Reem,60,Center
Bnei Yehuda,61,North
Bneu Dekalim,62,South
Brechia,63,South
Brochin,64,Judea and Samaria
Caesarea,65,North
Castle,66,Jerusalem
Chad Nes,67,North
Chalets,68,South
Chofetz Chaim,69,Center
Dafna,70,North
Degania A,71,North
Degania B,72,North
Dekel,73,South
Dimona,74,South
Dolev,75,Judea and Samaria
Dorot,76,South
Efrat,77,Judea and Samaria
Eilat,78,South
Ein Gedi,79,South
Ein Habesor,80,South
Ein Ha'horesh,81,Center
Ein Hanatziv,82,North
Ein Harod,83,North
Ein Ha'Shlosha,84,South
Ein Yahav,85,South
Ein Zurim,86,South
Einav,87,Judea and Samaria
Eitan,88,South
Elad,89,Center
Elezar,90,Judea and Samaria
Eliad,91,North
Eliav,92,South
Elifaz,93,South
Emmanuel,94,Judea and Samaria
Erez,95,South
Eshtaol,96,Jerusalem
Even Shmuel,97,South
Even Yehuda,98,Center
Evron,99,North
Faren,100,South
Gaash,101,South
Gadot,102,North
Gal'on,103,South
Gan Yavneh,104,Center
Gani Tal,105,Center
Gedera,106,Center
Gevim,107,South
Gezer,108,Center
Giv'at Ada,109,North
Giv'at Brenner,110,Center
Giv'at Haim,111,North
Giv'at Olga,112,North
