Date,Duration,Hour,Report,Volunteering_id,Patient_id,KindOfVol_id,Location
2024-05-21,45,13,Volunteered and supported someone in need.,1,654984401,141,Barkan
2024-12-06,60,18,Volunteered and supported someone in need.,2,652494217,6,Neve Tzuf
2024-04-17,30,16,Volunteered and supported someone in need.,3,769689984,167,Mivtachim
2024-07-08,30,12,Volunteered and supported someone in need.,4,580599820,59,Neve Ativ
2024-08-30,45,11,Volunteered and supported someone in need.,5,173088632,169,Nofim
2025-02-20,30,18,Volunteered and supported someone in need.,6,806991701,156,Itamar
2024-09-25,45,10,Volunteered and supported someone in need.,7,687751431,23,Beit Nir
2024-08-14,60,8,Volunteered and supported someone in need.,8,272817777,52,Sde Yaakov
2024-08-01,30,10,Volunteered and supported someone in need.,9,191311934,154,Kramei Tzur
2024-10-14,30,16,Volunteered and supported someone in need.,10,153146909,157,Shadmot Meholah
2024-05-05,45,10,Volunteered and supported someone in need.,11,764042038,95,Kfar Haraeh
2024-12-25,30,16,Volunteered and supported someone in need.,12,931632673,163,Ali
2024-12-01,60,13,Volunteered and supported someone in need.,13,464652229,47,Tel Aviv
2024-09-11,45,11,Volunteered and supported someone in need.,14,424272342,152,Mishmoret
2024-11-02,45,12,Volunteered and supported someone in need.,15,904001372,59,Naria
2025-01-29,60,20,Volunteered and supported someone in need.,16,853956801,101,Revva
2024-09-06,120,19,"Cleaned and organized a house for Passover, helped with shopping and preparation.",17,602671102,5,Shoval
2024-07-27,60,12,Volunteered and supported someone in need.,18,352021993,84,Sasa
2024-05-20,60,14,Volunteered and supported someone in need.,19,209491604,48,Neve Michael
2025-02-28,45,12,Volunteered and supported someone in need.,20,246648052,125,Gani Tal
2025-02-21,60,17,Volunteered and supported someone in need.,21,424272342,96,Merhav Am
2024-05-09,45,10,Volunteered and supported someone in need.,22,855101949,80,Tkoma
2024-06-15,60,10,Volunteered and supported someone in need.,23,587048264,105,Ateret
2025-01-11,45,16,"Visited a sick person at home, talked and brought them needed supplies.",24,837349569,2,Sapir
2025-03-04,45,11,"Spent time with an elderly person, played a board game and went for a walk.",25,789789317,126,Lachish
2024-07-01,60,18,Volunteered and supported someone in need.,26,979282918,152,Kfar Vitkin
2024-04-14,60,13,Volunteered and supported someone in need.,27,789789317,96,Metula
2024-09-07,45,14,"Spent time with an elderly person, played a board game and went for a walk.",28,908426233,164,Almagor
2025-01-31,45,12,Volunteered and supported someone in need.,29,779458806,176,Neve Zohar
2025-01-24,30,11,"Spent time with an elderly person, played a board game and went for a walk.",30,254698390,19,Tiberias
2024-04-19,45,15,"Spent time with an elderly person, played a board game and went for a walk.",31,209491604,78,Beitar Ilit
2024-08-22,60,15,Volunteered and supported someone in need.,32,693831263,110,Sde Uziyahu
2024-05-09,60,17,Volunteered and supported someone in need.,33,196990578,119,Dafna
2025-03-26,60,12,Volunteered and supported someone in need.,34,876028571,56,Michmesh
2024-09-15,45,14,Volunteered and supported someone in need.,35,538091509,106,Maagan Michael
2024-05-07,60,13,Volunteered and supported someone in need.,36,759117243,56,Keshet
2024-04-08,60,17,Volunteered and supported someone in need.,37,485535126,62,Maale HaChamisha
2024-08-10,60,13,"Spent time with an elderly person, played a board game and went for a walk.",38,577015390,61,Ein Harod
2025-03-30,30,13,Volunteered and supported someone in need.,39,707932905,113,Netanya
2024-04-03,30,9,Volunteered and supported someone in need.,40,855731625,41,Chofetz Chaim
2024-08-11,30,8,Volunteered and supported someone in need.,41,196990578,135,Kfar Gaza
